uno	uname	id	pw	birth	height	weight
1	정보기술	user01	user01!	1965-08-07	170	60
2	홍길동	user02	user02!	2006-03-27	180	70
3	예구환	user03	user03!	2011-08-22	160	66
4	순돈오	user04	user04!	1977-08-04	171	109
5	채해선	user05	user05!	1971-02-23	162	112
6	김이왕	user06	user06!	1991-01-01	165	58
7	준상독	user07	user07!	1994-02-13	170	68
8	경수민	user08	user08!	1958-08-25	156	90
9	이국섭	user09	user09!	1981-03-13	157	107
10	황마복	user10	user10!	1984-03-01	178	85
11	장민	user11	user11!	1978-03-10	182	56
12	한예준	user12	user12!	1976-08-02	167	44
13	두루낭	user13	user13!	2011-11-26	152	72
14	곽계민	user14	user14!	2007-04-01	177	115
15	심제보	user15	user15!	2007-10-21	166	56
16	간감종	user16	user16!	1957-10-08	174	79
17	한계계	user17	user17!	1992-10-26	188	46
18	공곽루	user18	user18!	1994-11-14	172	65
19	동방랑	user19	user19!	1951-01-14	189	99
20	부여점	user20	user20!	1967-10-16	164	111
21	윤주최	user21	user21!	2012-08-11	158	82
22	하연주	user22	user22!	1996-05-26	177	82
23	최시기	user23	user23!	1998-02-20	184	94
24	성송유	user24	user24!	1980-12-12	165	57
25	용갈려	user25	user25!	2010-04-28	192	113
26	권설환	user26	user26!	1972-02-24	155	105
27	최탕경	user27	user27!	1997-02-03	184	79
28	안아군	user28	user28!	1962-03-18	167	106
29	피온필	user29	user29!	1965-07-07	190	56
30	주위란	user30	user30!	1996-10-10	177	73
31	부복당	user31	user31!	1959-11-28	173	119
32	최승재	user32	user32!	1982-07-23	183	61
33	예윤어	user33	user33!	1988-12-30	152	43
34	내요승	user34	user34!	2012-03-11	171	71
35	감창안	user35	user35!	2015-01-14	168	100
36	인십매	user36	user36!	1954-07-31	150	44
37	강창륙	user37	user37!	1983-04-09	151	77
38	아초시	user38	user38!	1979-03-04	151	108
39	곽여황	user39	user39!	1981-09-01	187	81
40	진유진	user40	user40!	1953-08-07	181	75
41	옹산해	user41	user41!	1963-09-16	186	106
42	김경조	user42	user42!	1967-05-10	151	53
43	조예준	user43	user43!	2004-07-06	174	109
44	장당십	user44	user44!	1982-09-04	150	48
45	소동연	user45	user45!	2019-11-16	171	59
46	정형이	user46	user46!	1996-02-06	180	82
47	사조박	user47	user47!	2013-05-30	197	55
48	해호안	user48	user48!	2002-03-27	160	86
49	시순민	user49	user49!	2006-04-18	163	76
50	주신홍	user50	user50!	2015-03-20	155	97
51	전지수	user51	user51!	1986-11-25	172	82
52	연구함	user52	user52!	1958-12-02	165	69
53	옥채전	user53	user53!	1956-01-03	160	112
54	장재희	user54	user54!	2016-11-13	184	99
55	이이진	user55	user55!	1983-07-13	194	113
56	진선유	user56	user56!	2009-02-23	199	94
57	감은정	user57	user57!	2015-11-27	174	110
58	예국	user58	user58!	2011-09-18	199	88
59	성미수	user59	user59!	1969-09-02	178	100
60	제사미	user60	user60!	1950-10-06	152	64
61	봉어운	user61	user61!	2010-04-08	195	91
62	배현인	user62	user62!	1989-02-02	150	85
63	유승연	user63	user63!	1951-08-25	159	97
64	삼전봉	user64	user64!	1996-08-19	170	67
65	난만국	user65	user65!	1986-09-22	181	73
66	다문최	user66	user66!	2014-11-22	199	91
67	루남기	user67	user67!	1995-06-26	197	44
68	추강운	user68	user68!	1989-09-15	155	85
69	점완석	user69	user69!	2002-05-15	200	100
70	지낭차	user70	user70!	1964-04-16	198	105
71	돈감서	user71	user71!	1999-04-05	170	84
72	목탄흥	user72	user72!	1958-12-08	190	114
73	우묘우	user73	user73!	1985-08-26	191	51
74	미궁점	user74	user74!	1980-09-04	155	73
75	낭남설	user75	user75!	1975-03-23	199	91
76	오시우	user76	user76!	1981-12-29	191	85
77	권계흥	user77	user77!	1994-02-21	168	108
78	국설민	user78	user78!	1953-01-26	198	81
79	서란함	user79	user79!	2008-07-09	161	65
80	길서인	user80	user80!	2013-10-15	172	59
81	당애추	user81	user81!	1957-03-07	195	67
82	아문도	user82	user82!	1961-11-02	179	82
83	담온도	user83	user83!	1981-03-05	184	45
84	설관만	user84	user84!	1970-02-03	200	89
85	변황도	user85	user85!	1969-05-02	200	81
86	간류	user86	user86!	1969-03-01	177	56
87	제돈삼	user87	user87!	1952-11-10	193	110
88	유미자	user88	user88!	1971-03-30	153	94
89	강권만	user89	user89!	2010-07-29	151	117
90	기랑준	user90	user90!	1978-09-12	174	102
91	림당범	user91	user91!	1955-05-07	190	47
92	신서윤	user92	user92!	2022-05-31	189	96
93	신다솜	user93	user93!	1979-01-24	196	115
94	다묘림	user94	user94!	2007-08-23	190	45
95	여요관	user95	user95!	2004-09-03	187	95
96	림춘갈	user96	user96!	2010-05-11	169	80
97	십온예	user97	user97!	1957-04-20	190	110
98	해명선	user98	user98!	1995-02-14	163	107
99	아왕란	user99	user99!	2015-03-27	153	77
100	두성궁	user100	user100!	1964-08-24	151	88
