u_no	u_id	u_pw	u_name	u_gender	u_like	u_point	u_logindate
1	user01	user01!	홍길동	2	1,2,3	2392	2023-01-05
2	user02	user02!	김영빈	1	1,2,3	160	2023-08-02
3	user03	user03!	김효성	2	1,2,3	252	2023-06-13
4	user04	user04!	노형민	1	1,2,3	2179	2023-06-01
5	user05	user05!	서승우	1	1,2,3	356	2023-09-11
6	user06	user06!	오진수	1	1,2,3	1627	2022-10-15
7	user07	user07!	유법상	2	1,2,3	1382	2023-01-28
8	user08	user08!	윤예찬	1	1,2,3	1691	2022-10-31
9	user09	user09!	이규미	1	1,2,3	456	2023-03-22
10	user10	user10!	이기연	2	1,2,4	1702	2022-10-21
11	user11	user11!	이태현	2	1,2,4	2184	2023-03-10
12	user12	user12!	이한솔	1	1,2,4	319	2023-08-22
13	user13	user13!	전다훈	2	1,2,5	12	2022-10-01
14	user14	user14!	차우성	2	1,2,5	1951	2022-10-25
15	user15	user15!	한성준	1	1,2,6	59	2023-02-25
16	user16	user16!	김도현	2	1,2,6	1821	2022-12-24
17	user17	user17!	김민우	1	1,2,6	2404	2023-07-26
18	user18	user18!	김범식	2	1,2,6	2318	2022-10-09
19	user19	user19!	김성원	1	1,2,3	264	2023-04-05
20	user20	user20!	김수민	1	1,2,3	369	2023-02-23
21	user21	user21!	김재윤	1	1,3,4	2884	2023-09-02
22	user22	user22!	신현수	2	1,3,4	372	2023-03-28
23	user23	user23!	원영철	2	1,3,4	1646	2023-05-09
24	user24	user24!	이정진	2	1,3,5	749	2022-12-15
25	user25	user25!	이훈	1	1,3,5	2805	2022-12-22
26	user26	user26!	장주열	1	1,3,6	640	2023-04-16
27	user27	user27!	하태광	2	1,3,6	1698	2023-01-31
28	user28	user28!	강민성	2	1,3,6	2505	2023-07-19
29	user29	user29!	강병호	2	1,2,4	1052	2023-03-03
30	user30	user30!	강승훈	1	1,2,4	1049	2022-11-15
31	user31	user31!	권용욱	2	1,2,4	1686	2023-05-28
32	user32	user32!	김민유	2	1,3,4	2699	2023-07-22
33	user33	user33!	김상현	2	1,3,4	2933	2023-04-29
34	user34	user34!	김진겸	2	1,4,5	1228	2023-01-01
35	user35	user35!	김혜린	1	1,4,5	2088	2023-04-24
36	user36	user36!	박준영	1	1,4,5	238	2023-05-20
37	user37	user37!	윤성민	1	1,4,6	191	2022-10-09
38	user38	user38!	윤제중	2	1,4,6	2370	2022-11-13
39	user39	user39!	윤제민	2	1,2,5	1272	2023-05-09
40	user40	user40!	윤민중	2	1,2,5	2730	2023-03-20
41	user41	user41!	김진중	2	1,2,5	388	2023-07-14
42	user42	user42!	이훈용	1	1,3,5	2419	2023-07-14
43	user43	user43!	김도연	2	1,3,5	1192	2023-06-22
44	user44	user44!	김홍경	2	1,3,5	1867	2023-07-30
45	user45	user45!	박상준	1	1,4,5	552	2023-06-17
46	user46	user46!	박재우	2	1,5,6	404	2023-01-01
47	user47	user47!	심규빈	1	1,2,6	682	2023-05-28
48	user48	user48!	우세희	2	1,5,6	102	2022-12-29
49	user49	user49!	원석호	1	1,5,6	1580	2023-03-28
50	user50	user50!	유재혁	2	1,2,6	2239	2023-09-15
51	user51	user51!	이건욱	2	1,2,6	1678	2023-07-09
52	user52	user52!	이광욱	1	1,3,6	2516	2023-04-13
53	user53	user53!	이상협	2	1,3,6	467	2022-10-04
54	user54	user54!	이혜민	1	1,4,6	2328	2023-02-18
55	user55	user55!	정호성	2	1,5,6	115	2023-03-22
56	user56	user56!	김별은 	2	1,5,6	1857	2023-01-22
57	user57	user57!	김은별 	2	1,5,6	1787	2023-07-30
58	user58	user58!	권현우	2	1,2,3	2333	2023-07-13
59	user59	user59!	김미르	2	1,2,3	2699	2022-10-19
